Fold,MAPE,RMSE,RÂ²
1,34143957174916.457,0.8238382138184017,0.8678081956755379
2,31487667394698.86,0.8186826091423713,0.8698423149241356
3,41274656584919.74,0.8255780901652442,0.8652734296343833
4,36228957002402.8,0.8055859178313738,0.874888486945107
5,37930316861631.64,0.7957873420719761,0.8798676788618311
6,36287336997572.414,0.829058410088177,0.86749980556848
7,30724557457838.86,0.8209293037561889,0.8701318170372895
8,42133676513844.12,0.8373599257052472,0.8648574662407037
9,28672917627592.3,0.8240286563205464,0.8690343807424261
10,28960647603785.414,0.8326417611609496,0.8644437607839558
